Question1;Question2;Question3;Question4;Question5;Question6;Question7;Question8;House
Forest;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;White cat;The sea;The Good;The power to change your appearance at will;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;Left;Ravenclaw
Dawn;The power to speak to animals;Agree, and ask whether they'd like a free sample of a jinx?;Home;Tawny owl;The Great;Cold;Right;Hufflepuff
River;The bubbling pool, in the depths of which something luminous is swirling;Brown owl;The power to speak to animals;Ask what makes them think so?;The Good;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;Right;Hufflepuff
Moon;Ginger cat;The twisting, leaf-strewn path through woods;The sea;The Bold;Secrets about the castle;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;Black;Gryffindor
Forest;Black cat;The twisting, leaf-strewn path through woods;The Good;The sea;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;The power of superhuman strength;Left;Slytherin
Moon;Loneliness;The power to read minds;Screech owl;The bubbling pool, in the depths of which something luminous is swirling;The Wise;Volunteer to fight?;Black;Ravenclaw
Dusk;Snowy owl;Trolls;Tell them that you are worried about their mental health, and offer to call a doctor.;The drum;Praised?;Ordinary;White;Hufflepuff
River;Glory?;The power to change the past;Liked?;The fat red toadstools that appear to be talking to each other;Common toad;Being forced to speak in such a silly voice that hardly anyone can   understand you, and everyone laughs at you.;White;Hufflepuff
Dusk;Waking up to find that neither your friends nor your family have any idea who you are.;Screech owl;The bubbling pool, in the depths of which something luminous is swirling;Imitated?;Love?;Vampires;Tails;Slytherin
Moon;Volunteer to fight?;Envied?;Wisdom?;Tabby cat;Merpeople;The drum;Tails;Slytherin
Stars;The power to change the past;Cold;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;Barn owl;Draw your wand and stand your ground?;Ask for more stories about your adventures;Heads;Hufflepuff
Moon;Vampires;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;Miss you, but smile;Natterjack toad;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;Black;Hufflepuff
Forest;The foaming, frothing, silvery liquid that sparkles as though containing ground diamonds.;Merpeople;Ask for more stories about your adventures;Black cat;Cold;The cobbled street lined with ancient buildings;Black;Slytherin
Moon;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;Goblins;Common toad;Being forced to speak in such a silly voice that hardly anyone can   understand you, and everyone laughs at you.;Heads;Slytherin
Forest;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';Ghosts;Envied?;An eye at the keyhole of the dark, windowless room in which you are locked.;Cowardly;Brown owl;Black;Gryffindor
Stars;The violin;The twisting, leaf-strewn path through woods;Centaurs;Envied?;Selfish;Three toed tree toad;White;Hufflepuff
Dawn;The trumpet;The power to change the past;Agree, and walk away, leaving them to wonder whether you are bluffing?;Ignorant;Harlequin toad;Liked?;Right;Hufflepuff
Dawn;Love?;Merpeople;Waking up to find that neither your friends nor your family have any idea who you are.;The statue of an old wizard with a strangely twinkling eye;Snowy owl;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;Black;Hufflepuff
Forest;Ordinary;Harlequin toad;Merpeople;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;The violin;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;Left;Slytherin
River;Tabby cat;Every area of magic I can;Glory?;The fat red toadstools that appear to be talking to each other;Tell them that you are worried about their mental health, and offer to call a doctor.;Praised?;Left;Hufflepuff
River;A crackling log fire;Centaurs;Harlequin toad;An eye at the keyhole of the dark, windowless room in which you are locked.;Imitated?;Ask for more stories about your adventures;Right;Gryffindor
Stars;Draw your wand and try to discover the source of the noise?;Power?;Goblins;The silver leafed tree bearing golden apples;Snowy owl;Cold;Tails;Slytherin
Dawn;Three toed tree toad;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;Love?;The power of superhuman strength;Tell Professor Flitwick that he ought to ask your classmate (and resolve to tell your classmate that if he doesn't tell the truth, you will).;Loneliness;Heads;Hufflepuff
Forest;Dragon toad;The Great;Boredom;Tell them that you are worried about their mental health, and offer to call a doctor.;Merpeople;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;Black;Slytherin
Stars;Love?;Goblins;Draw your wand and try to discover the source of the noise?;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;Feared?;Tabby cat;Left;Hufflepuff
Dawn;The Bold;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;Ginger cat;Praised?;Merpeople;The cobbled street lined with ancient buildings;Heads;Ravenclaw
Dawn;Lie and say you don't know (but hope that somebody else tells Professor Flitwick the truth).;Glory?;Harlequin toad;Feared?;Trolls;The violin;Right;Hufflepuff
Moon;Volunteer to fight?;Barn owl;The Great;Apparition and Disapparition (being able to materialize and dematerialize at will);The fat red toadstools that appear to be talking to each other;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;Black;Gryffindor
River;Trolls;The sea;Suggest drawing lots to decide which of you will fight?;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;Miss you, but smile;Black cat;White;Hufflepuff
Stars;Glory?;The wide, sunny, grassy lane;Trolls;Siamese cat;Being ignored;The sea;White;Hufflepuff
River;Think with admiration of your achievements;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;Snowy owl;Tell Professor Flitwick the truth.  If your classmate is prepared to win by cheating, he deserves to be found out.  Also, as you are both in the same house, any points he loses will be regained by you, for coming first in his place.;The violin;Vampires;Black;Slytherin
Dawn;Three toed tree toad;The Wise;Loneliness;Fresh parchment;Merpeople;Suggest drawing lots to decide which of you will fight?;Heads;Hufflepuff
Moon;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';Boredom;Ginger cat;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;The Wise;Transfiguration (turning one object into another object);Tails;Ravenclaw
Dusk;The statue of an old wizard with a strangely twinkling eye;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;Siamese cat;Ordinary;Being forced to speak in such a silly voice that hardly anyone can   understand you, and everyone laughs at you.;The power to change your appearance at will;Black;Slytherin
Stars;Love?;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;The sea;Centaurs;Barn owl;Attempt to confuse the troll into letting all three of you pass without fighting?;Black;Gryffindor
Forest;The power of invisibility;Imitated?;Suggest that all three of you should fight (without telling the troll)?;Siamese cat;Fresh parchment;The Bold;Right;Gryffindor
Dusk;Draw your wand and try to discover the source of the noise?;The power to speak to animals;The mysterious black liquid that gleams like ink, and gives off fumes that make you see strange visions.;Three toed tree toad;Boredom;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;Right;Slytherin
Stars;The statue of an old wizard with a strangely twinkling eye;The twisting, leaf-strewn path through woods;The Wise;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;Centaurs;Screech owl;Right;Gryffindor
River;The Wise;Barn owl;The sea;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;Suggest that all three of you should fight (without telling the troll)?;Centaurs;Black;Slytherin
Stars;The fat red toadstools that appear to be talking to each other;Miss you, but smile;The power to speak to animals;Waking up to find that neither your friends nor your family have any idea who you are.;Brown owl;Boredom;Tails;Hufflepuff
Forest;Draw your wand and stand your ground?;Feared?;Centaurs;Power?;Screech owl;The trumpet;Left;Ravenclaw
Stars;Wisdom?;Ghosts;Three toed tree toad;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;Liked?;The twisting, leaf-strewn path through woods;Black;Gryffindor
Forest;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;Power?;Lie and say you don't know (but hope that somebody else tells Professor Flitwick the truth).;All about magical creatures, and how to befriend/care for them;The bubbling pool, in the depths of which something luminous is swirling;Common toad;Heads;Hufflepuff
Dawn;The wide, sunny, grassy lane;The Wise;Dragon toad;Trolls;The drum;Boredom;Left;Gryffindor
Dawn;The Wise;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;Three toed tree toad;All about magical creatures, and how to befriend/care for them;The golden liquid so bright that it hurts the eye, and which makes sunspots dance all around the room.;Waking up to find that neither your friends nor your family have any idea who you are.;Heads;Ravenclaw
Dusk;Centaurs;Miss you, but smile;Feared?;The wide, sunny, grassy lane;The trumpet;Black cat;Heads;Hufflepuff
Stars;Screech owl;Miss you, but smile;Secrets about the castle;Envied?;The narrow, dark, lantern-lit alley;The drum;Right;Gryffindor
River;Power?;Vampires;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;Ginger cat;Hunger;Heads;Slytherin
Forest;Three toed tree toad;Vampires;The Great;Envied?;The narrow, dark, lantern-lit alley;The fat red toadstools that appear to be talking to each other;White;Slytherin
Forest;Tell them that you are worried about their mental health, and offer to call a doctor.;Transfiguration (turning one object into another object);The mysterious black liquid that gleams like ink, and gives off fumes that make you see strange visions.;Ginger cat;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;Miss you, but smile;White;Hufflepuff
